name,slug,url
ABM US,eiqg,https://eiqg.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
ADES Global,epgv,https://epgv.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
ADIB Candidate Experience site,hciq,https://hciq.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
ADNIC Career Portal,eoro,https://eoro.fa.em8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AEO,hcml,https://hcml.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AFW,ejqy,https://ejqy.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AICC External Site,iaarkf,https://iaarkf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AL Gihaz Holding,efva,https://efva.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
APP Recruitment,eify,https://eify.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AWR Career Site,iacpey,https://iacpey.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Abdulla-Fouad Career Site Minimal,hdgp,https://hdgp.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Abt Global,egpy,https://egpy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Abu Dhabi Airports,hcts,https://hcts.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Adani Career Site,eibd,https://eibd.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Adventist Health,ecvz,https://ecvz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Al Ghurair,iaaxey,https://iaaxey.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Al Moosa Career Portal,edns,https://edns.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Al-Othman Holding Company,eknh,https://eknh.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Albertsons Companies,eofd,https://eofd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Allegheny Intermediate Unit Career Site,einj,https://einj.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
American Bureau of Shipping Career Site,hbbq,https://hbbq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
American Tower Global,hdsn,https://hdsn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Anywhere,ibmqjb,https://ibmqjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Apollo Hospitals,cgs,https://cgs.fa.ap2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Apparel Career Site,ediu,https://ediu.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Arcadis,ebcs,https://ebcs.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
ArcelorMittal,emfg,https://emfg.fa.em4.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Arconic,hdnn,https://hdnn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Arcor Global,emqm,https://emqm.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Aspire Zone Candidate Experience site,eipb,https://eipb.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Aster DM Healthcare,hcdt,https://hcdt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
At Home,hdiy,https://hdiy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
BCBSM Career Section,ejko,https://ejko.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
BDO USA Experienced Career Site,ebqb,https://ebqb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
BE Careers,iadygs,https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
BNY External Career Site,eofe,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
BSC,ecge,https://ecge.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Badger,ejlj,https://ejlj.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Bank Negara Malaysia - Professional Career Site,iaartj,https://iaartj.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Barrick Mining Corporation,ehkn,https://ehkn.fa.ca2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Baylor Careers,ejof,https://ejof.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Black Box Careers,eoje,https://eoje.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Brazos County Career Site,ekzl,https://ekzl.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Bristlecone,iaagiz,https://iaagiz.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Brookdale Senior Living Inc.,ibmwjb,https://ibmwjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
CECONY Career Site,ejcu,https://ejcu.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
